signal,choice,contrast
-0.0041851,0,3.2
0.52041,0,3.2
0.010179,0,2.56
-0.36245,0,2.56
-1.0067,0,2.048
-0.1108,1,2.048
0.2399,0,1.6384
-0.6166,1,1.6384
0.051008,1,1.3107
0.14901,0,1.3107
0.42523,1,1.0486
-0.23255,1,1.3107
0.2561,0,1.3107
-0.68177,0,1.0486
-0.013484,0,1.0486
0.40873,0,0.83886
-0.48547,1,0.83886
-0.42052,1,1.0486
0.89738,1,1.3107
-0.70156,1,1.3107
0.11332,0,1.6384
-0.022905,0,1.6384
-0.62516,0,2.048
0.071887,1,2.048
-0.2511,1,1.6384
0.060253,1,2.048
-0.69401,1,2.048
0.12835,1,1.6384
0.87408,1,1.6384
0.48542,1,1.3107
-1.1421,1,1.3107
0.51757,0,10
-0.67559,0,10
0.011266,1,5
0.10641,0,5
-0.86589,0,2.5
0.051764,0,2.5
0.017057,1,1.25
0.32024,1,1.25
-0.23381,0,0.625
0.32822,0,0.625
0.1096,0,0.3125
-0.55453,0,0.625
-0.022227,1,1.25
0.50873,1,2.5
-0.094733,1,2.5
0.18496,1,5
0.65105,1,5
0.016305,1,2.5
-0.035724,0,5
-0.25882,0,5
-0.14323,0,3.3333
-0.3997,1,5
0.20635,1,5
0.45715,0,3.3333
-0.20801,1,5
0.31782,0,5
0.31305,0,3.3333
0.45891,1,5
-0.18352,0,5
-0.59092,0,4
0.15301,1,4
0.159,1,3.2
0.34227,1,3.2
-0.37382,0,2.56
-0.0019063,0,3.2
-0.21491,0,3.2
-0.31834,1,2.56
0.52474,1,3.2
-0.52831,1,3.2
-0.13428,1,2.56
0.5438,0,2.56
0.21998,1,2.048
-0.48428,1,2.048
0.081677,1,2.56
-0.18643,0,3.2
0.02626,0,4
0.76387,1,4
0.22337,1,3.2
-0.20943,0,3.2
-0.14063,0,2.56
-0.50495,1,2.56
-0.67981,0,3.2
-0.1408,1,3.2
-0.081399,0,2.56
0.34538,1,2.56
-0.16055,0,2.048
-0.53984,0,2.048
0.37969,1,1.6384
-0.53187,0,2.048
-0.020964,0,2.56
-0.33039,0,2.56
-0.47923,1,2.048
-1.144,0,2.048
0.040418,0,1.6384
-0.22984,0,1.6384
0.030904,1,1.3107
-0.37028,0,1.3107
0.22671,0,1.0486
-0.099576,1,1.3107
-0.32658,0,1.6384
0.25294,1,2.048
-0.70994,1,2.048
-0.031414,1,2.56
0.67428,0,3.2
0.36817,0,4
0.69685,0,4
-0.46005,0,3.2
0.49856,1,3.2
0.26941,1,2.56
0.16182,0,2.56
-0.45883,0,2.048
0.21886,0,2.56
-0.41863,1,3.2
0.25162,0,4
0.31458,0,4
0.61661,0,3.2
-0.31364,1,3.2
-0.30561,0,2.56
0.7872,1,3.2
0.40225,1,3.2
-0.72263,1,2.56
0.55245,0,3.2
-0.14595,1,3.2
0.16121,1,2.56
-0.28171,1,3.2
0.2755,1,3.2
0.064572,1,4
-0.57342,0,4
-0.32537,1,3.2
0.28554,1,3.2
-1.5224,0,10
-0.048113,1,10
-0.97285,0,5
-0.31739,1,5
-0.13405,0,2.5
0.0041363,0,5
-0.37593,0,5
-1.1093,0,10
0.82864,1,10
0.081097,0,5
-0.13558,0,5
-0.39005,0,2.5
0.14525,1,2.5
0.74633,1,1.25
0.081764,1,2.5
0.82208,1,5
-0.2577,1,5
0.33236,0,3.3333
0.12705,0,3.3333
0.53629,1,2.2222
0.22595,1,2.2222
-0.47162,0,1.4815
0.42924,0,2.2222
0.75054,1,3.3333
0.56841,1,3.3333
0.50336,0,2.2222
0.18232,1,3.3333
-0.24749,0,3.3333
-0.38826,0,5
0.31056,1,5
-0.3984,0,4
0.55091,1,4
-0.095219,0,3.2
0.49705,0,4
-0.068358,0,5
-0.45292,0,5
-0.10285,0,4
-0.083894,0,4
-0.67821,0,3.2
0.082366,1,3.2
-0.21729,0,2.56
0.47865,1,3.2
0.067631,0,3.2
0.59537,1,4
-1.2697,0,5
0.39133,0,5
-0.42054,0,4
0.13991,0,4
0.10393,0,5
-1.1826,0,5
0.33294,1,4
0.12879,0,4
-0.11238,0,3.2
0.0053587,0,3.2
0.17988,0,2.56
-0.48279,1,2.56
-0.782,0,2.048
-0.17654,0,2.56
0.79538,0,2.56
0.42638,0,3.2
-0.0037981,1,3.2
-0.63786,0,4
0.24629,1,4
-0.033237,1,3.2
